,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
511,1/17/2022,42.15,42.5,39.37,39.37,32346300,SSI,-3.342557430267334,SELL_50,0.030749410390853882,2553,1087529.7574400043
512,1/18/2022,38.5,39.2,36.64,36.77,15992300,SSI,-1.2408852577209473,SELL_50,0.39382508397102356,1277,1090700.8789200042
513,1/19/2022,38.16,39.29,37.68,39.29,11085500,SSI,0.15170931816101074,BUY_20,0.18663088977336884,14518,1096423.3800300043
514,1/20/2022,39.46,40.16,38.63,39.72,9055600,SSI,-1.6974989175796509,SELL_50,0.32688164710998535,7259,1088876.0525500043
515,1/21/2022,39.29,39.63,38.42,38.72,8527900,SSI,-0.077720046043396,HOLD,0.24220575392246246,3630,1078970.8376700042
516,1/24/2022,38.07,38.5,36.03,36.03,18790500,SSI,-0.10804200172424316,SELL_20,0.2488688826560974,1815,1081028.9932200043
517,1/25/2022,35.64,37.29,35.55,37.2,10236600,SSI,-2.5799217224121094,SELL_50,0.1296524703502655,908,1080722.8528200043
518,1/26/2022,37.37,37.72,36.85,36.9,8416100,SSI,-1.8280961513519287,SELL_50,0.3018170893192291,454,1081078.3802200041
519,1/27/2022,36.94,38.68,36.59,37.72,7544500,SSI,0.10438132286071777,BUY_20,0.19752119481563568,14557,1101508.4950600043
520,1/28/2022,37.63,39.16,37.55,39.16,7793600,SSI,-1.0664043426513672,SELL_50,0.3989422917366028,7279,1106245.9985800043
521,2/7/2022,39.98,40.76,39.37,39.85,9690500,SSI,-2.9844696521759033,SELL_50,0.0646628886461258,3640,1105482.1844300043
522,2/8/2022,39.55,40.07,39.11,39.68,6658100,SSI,-1.3616589307785034,SELL_50,0.3833789527416229,1820,1105482.7668300043
523,2/9/2022,39.37,40.24,39.37,39.72,8230800,SSI,-1.014385461807251,SELL_50,0.398067831993103,910,1104973.4216300042
524,2/10/2022,39.81,39.89,38.76,39.2,6996200,SSI,-1.200249195098877,SELL_50,0.3961213529109955,455,1104955.5856300043
525,2/11/2022,39.11,39.68,38.94,39.2,5557600,SSI,-2.032036066055298,SELL_50,0.2538928985595703,228,1104650.2872300043
526,2/14/2022,38.68,38.85,37.9,37.9,10485300,SSI,-3.1223440170288086,SELL_50,0.04971018433570862,114,1104705.2466300041
527,2/15/2022,38.42,38.85,37.68,38.42,5733800,SSI,0.06898880004882812,HOLD,0.20581704378128052,14433,1112959.2406500042
528,2/16/2022,38.85,39.2,38.5,39.03,4864700,SSI,-1.2922998666763306,SELL_50,0.3889637291431427,7217,1113254.9601700045
529,2/17/2022,38.94,39.24,38.94,39.11,5870700,SSI,-2.5824403762817383,SELL_50,0.12844589352607727,3609,1113763.4712900044
530,2/18/2022,38.68,39.81,38.59,39.29,9386200,SSI,0.6544754505157471,BUY_50,0.08870592713356018,15978,1124302.3132800043
531,2/21/2022,39.37,40.33,39.37,39.98,10975700,SSI,-1.4708545207977295,SELL_50,0.36717262864112854,7989,1117032.4830600044
532,2/22/2022,39.37,39.72,38.68,39.11,7703800,SSI,-2.517615795135498,SELL_50,0.141179159283638,3995,1117914.9777200043
533,2/23/2022,39.29,39.63,39.29,39.37,5632600,SSI,-0.5991513729095459,SELL_50,0.35549861192703247,1998,1116617.5758300044
534,2/24/2022,39.2,39.98,37.77,38.76,12752500,SSI,-1.5224461555480957,SELL_50,0.36183154582977295,999,1117537.8945900043
535,2/25/2022,39.11,40.46,38.94,39.72,15679600,SSI,-1.188031792640686,SELL_50,0.3966669738292694,500,1117518.0743100042
536,2/28/2022,39.81,40.5,39.68,39.72,7527000,SSI,-1.837463617324829,SELL_50,0.2997491955757141,250,1117573.1443100043
